Tên sản phẩm,Danh Mục,Thương hiệu,JSON Attributes,Link Shop,Giá
Áo Tank Top ROWAY Oversize Muscle Fit Streetwear Cực Chất Cho Nam RW-TK02,Áo thun,ROWAY,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""ROWAY"",""Chất liệu"":""Cotton pha Poly"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Streetwear, Thể hình"",""Mẫu"":""Trơn"",""Mùa"":""Mùa hè"",""Tính năng"":""Bền bỉ, chịu lực kéo"",""Hoàn cảnh"":""Tập tạ, Dạo phố"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ khoét sâu"",""Kiểu áo thun"":""Muscle Fit""}",null,179.000 đ
Áo ba lỗ nam TORANO lụa băng tản nhiệt cao cấp mặc lót trong áo sơ mi mỏng nhẹ tàng hình,Áo thun,TORANO,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""TORANO"",""Chất liệu"":""Lụa băng (Ice Silk)"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Cao cấp, Tối giản"",""Mẫu"":""Trơn"",""Mùa"":""Mùa hè"",""Tính năng"":""Tàng hình, mát lạnh"",""Hoàn cảnh"":""Mặc lót áo sơ mi"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tim sâu"",""Kiểu áo thun"":""Slimfit""}",null,199.000 đ
Áo Ba Lỗ Nam TORANO Basic Cotton Spandex Co Giãn 4 Chiều Ôm Body TRN-BL99,Áo thun,TORANO,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""TORANO"",""Chất liệu"":""Cotton Spandex"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Cơ bản, Thanh lịch"",""Mẫu"":""Trơn"",""Mùa"":""Bốn mùa"",""Tính năng"":""Co giãn 4 chiều, giữ form"",""Hoàn cảnh"":""Mặc lót, Thể thao nhẹ"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ vuông"",""Kiểu áo thun"":""Bodyfit""}",null,150.000 đ
Áo tank top nam ZETIS khoét nách sâu cá tính tập gym khoe cơ bắp cực ngầu vải thấm hút,Áo thun,ZETIS,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""ZETIS"",""Chất liệu"":""Poly pha thun"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Cá tính, Gymmer"",""Mẫu"":""Khoét nách sâu"",""Mùa"":""Mùa hè"",""Tính năng"":""Thoát mồ hôi cực nhanh"",""Hoàn cảnh"":""Tập thể hình, Workout"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ chữ U sâu"",""Kiểu áo thun"":""Muscle Fit"",""Rất lớn"":""Có""}",null,135.000 đ
Áo Tanktop ZETIS Graphic Print Wash Xám Bụi Bặm Grunge Style Form Rộng Unisex ZT-TK09,Áo thun,ZETIS,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""ZETIS"",""Chất liệu"":""Cotton Washed"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Grunge, Bụi bặm"",""Mẫu"":""Wash xám, In Graphic"",""Mùa"":""Mùa hè"",""Tính năng"":""Phong cách độc bản"",""Hoàn cảnh"":""Đi chơi, Concert"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn gãy"",""Kiểu áo thun"":""Oversize""}",null,210.000 đ
Áo ba lỗ nam Coolmate thun lạnh 100% Cotton co giãn 4 chiều thoáng mát tập gym chạy bộ mặc nhà,Áo thun,Coolmate,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""Coolmate"",""Chất liệu"":""100% Cotton"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thể thao, Năng động"",""Mùa"":""Mùa hè"",""Tính năng"":""Thấm hút tốt, co giãn 4 chiều"",""Hoàn cảnh"":""Tập Gym, Chạy bộ, Mặc nhà"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn"",""Kiểu áo thun"":""Slimfit""}",null,160.000 đ
Áo Ba Lỗ Nam Coolmate Cotton Compact Cao Cấp Chống Nhăn CM-BL05,Áo thun,Coolmate,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""Coolmate"",""Chất liệu"":""Cotton Compact"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Tối giản"",""Mẫu"":""Trơn"",""Mùa"":""Bốn mùa"",""Tính năng"":""Chống nhăn, mềm mịn"",""Hoàn cảnh"":""Mặc lót, Mặc hàng ngày"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn"",""Kiểu áo thun"":""Regular Fit""}",null,185.000 đ
Áo Tanktop YODY Active Wear Cool-Dry Công Nghệ Tản Nhiệt Nhanh Unisex YD-TK22,Áo thun,YODY,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""YODY"",""Chất liệu"":""Thun lạnh Cool-Dry"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Activewear, Unisex"",""Mùa"":""Mùa hè"",""Tính năng"":""Tản nhiệt nhanh, nhanh khô"",""Hoàn cảnh"":""Thể thao ngoài trời, Đi biển"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tròn"",""Kiểu áo thun"":""Oversize""}",null,220.000 đ
Áo ba lỗ nam YODY sợi sồi Modal siêu mềm mịn kháng khuẩn thoáng khí cản mùi cơ thể tốt,Áo thun,YODY,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""YODY"",""Chất liệu"":""Sợi sồi Modal"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thanh lịch"",""Mẫu"":""Trơn"",""Mùa"":""Bốn mùa"",""Tính năng"":""Kháng khuẩn, khử mùi, siêu mềm"",""Hoàn cảnh"":""Mặc hàng ngày, Đi du lịch"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ tim"",""Kiểu áo thun"":""Regular Fit""}",null,250.000 đ
Áo Tank Top KRIK Muscle Fit Graphic Streetwear Bụi Bặm KR-BL10,Áo thun,KRIK,"{""Danh Mục"":""Áo ba lỗ"",""Thương hiệu"":""KRIK"",""Chất liệu"":""Cotton pha"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Streetwear, Bụi bặm"",""Mẫu"":""In Graphic"",""Mùa"":""Mùa hè"",""Tính năng"":""Thoáng khí, đứng form"",""Hoàn cảnh"":""Dạo phố, Đi chơi"",""Chiều dài tay áo"":""Sát nách"",""Kiểu cổ áo"":""Cổ khoét sâu"",""Kiểu áo thun"":""Muscle Fit""}",null,195.000 đ
Áo khoác blazer nam JBAGY Classic 3 lớp dày dặn có đệm vai tinh tế JK007,Áo Vest và Blazer,JBAGY,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""JBAGY"",""Chất liệu"":""Vải chéo cao cấp"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Hàn Quốc, Thanh lịch"",""Mẫu"":""Trơn"",""Mùa"":""Thu Đông / Bốn mùa"",""Tính năng"":""3 lớp dày dặn, Có đệm vai, Giữ form"",""Hoàn cảnh"":""Công sở, Đám cưới, Sự kiện, Đi chơi"",""Chiều dài tay áo"":""Tay dài"",""Kiểu cổ áo"":""Cổ Blazer (Lapel)"",""Kiểu nút"":""1 nút / 2 nút"",""Kiểu áo khoác"":""Blazer Classic""}",https://shopee.vn/%C3%81o-kho%C3%A1c-blazer-nam-JBAGY-Classic-3-l%E1%BB%9Bp-d%E1%BA%A7y-d%E1%BA%B7n-c%C3%B3-%C4%91%E1%BB%87m-vai-tinh-t%E1%BA%BF-phong-c%C3%A1ch-H%C3%A0n-Qu%E1%BB%91c-JK007-i.259681663.9952288498?extraParams=%7B%22display_model_id%22%3A45308845077%2C%22model_selection_logic%22%3A3%7D,599.000đ
Áo khoác Blazer nam JBAGY Atelier Jacket ve nhọn vải âu cao cấp JK0102,Áo Vest và Blazer,JBAGY,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""JBAGY"",""Chất liệu"":""Vải Âu cao cấp"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Sang trọng, Atelier hiện đại"",""Mẫu"":""Trơn"",""Mùa"":""Bốn mùa"",""Tính năng"":""Ve nhọn tinh tế, Đứng form, Chống nhăn"",""Hoàn cảnh"":""Sự kiện, Tiệc cưới, Công sở, Hẹn hò"",""Chiều dài tay áo"":""Tay dài"",""Kiểu cổ áo"":""Cổ ve nhọn (Peak Lapel)"",""Kiểu nút"":""1 nút / 2 nút"",""Kiểu áo khoác"":""Blazer Atelier""}",https://shopee.vn/New-Arrivals-%C3%81o-kho%C3%A1c-Blazer-nam-JBAGY-Atelier-Jacket-ve-nh%E1%BB%8Dn-v%E1%BA%A3i-%C3%A2u-cao-c%E1%BA%A5p-JK0102-i.259681663.41825903590?extraParams=%7B%22display_model_id%22%3A310034869939%2C%22model_selection_logic%22%3A3%7D,659.000đ
Áo khoác blazer nam quốc dân ARMCEO Conal 3 lớp có đệm vai cao cấp chất liệu Arims độc quyền B01,Áo Vest và Blazer,ARMCEO,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""ARMCEO"",""Chất liệu"":""Vải Arims độc quyền (3 lớp)"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Lịch lãm, Quốc dân"",""Mẫu"":""Trơn"",""Mùa"":""Thu Đông, Bốn mùa"",""Tính năng"":""Có đệm vai, Chống nhăn, Giữ form tốt"",""Hoàn cảnh"":""Đi làm, Sự kiện, Đám cưới, Đi chơi"",""Chiều dài tay áo"":""Tay dài"",""Kiểu cổ áo"":""Cổ Blazer (Lapel)"",""Kiểu nút"":""1 nút / 2 nút"",""Kiểu áo khoác"":""Blazer Classic""}",https://shopee.vn/%C3%81o-kho%C3%A1c-blazer-nam-qu%E1%BB%91c-d%C3%A2n-ARMCEO-Conal-3-l%E1%BB%9Bp-c%C3%B3-%C4%91%E1%BB%87m-vai-cao-c%E1%BA%A5p-ch%E1%BA%A5t-li%E1%BB%87u-Arims-%C4%91%E1%BB%99c-quy%E1%BB%81n-d%C3%A0y-d%E1%BA%B7n-B01-i.842092370.19237655448?extraParams=%7B%22display_model_id%22%3A156808242406%2C%22model_selection_logic%22%3A3%7D,390.000đ
Áo blazer nam nữ kẻ sọc unisex ARMCEO chất liệu cotton spandex đứng form ARK02,Áo Vest và Blazer,ARMCEO,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""ARMCEO"",""Chất liệu"":""Cotton Spandex"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Unisex, Trẻ trung, Hiện đại"",""Mẫu"":""Kẻ sọc (Striped)"",""Mùa"":""Bốn mùa"",""Tính năng"":""Đứng form, Co giãn nhẹ, Thoáng khí"",""Hoàn cảnh"":""Đi chơi, Dạo phố, Đi học, Sự kiện nhẹ"",""Chiều dài tay áo"":""Tay dài"",""Kiểu cổ áo"":""Cổ Blazer (Lapel)"",""Kiểu nút"":""1 nút / 2 nút"",""Kiểu áo khoác"":""Blazer Unisex""}",https://shopee.vn/%C3%81o-blazer-nam-n%E1%BB%AF-k%E1%BA%BB-s%E1%BB%8Dc-unisex-ARMCEO-m%E1%BB%9Bi-nh%E1%BA%A5t-ch%E1%BA%A5t-li%E1%BB%87u-cotton-spandex-%C4%91%E1%BB%A9ng-form-ARK02-i.842092370.29863742310?extraParams=%7B%22display_model_id%22%3A49472804282%2C%22model_selection_logic%22%3A3%7D,360.000đ
Áo khoác Blazer nam ROWAY chất liệu Linen cao cấp thoáng mát,Áo Vest và Blazer,ROWAY,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""ROWAY"",""Chất liệu"":""Linen (Vải lanh) cao cấp"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Lịch lãm, Phóng khoáng, Casual"",""Mẫu"":""Trơn / Vân vải tự nhiên"",""Mùa"":""Mùa hè, Xuân Hè"",""Tính năng"":""Thoáng khí, Thấm hút tốt, Nhẹ nhàng, Không đệm vai"",""Hoàn cảnh"":""Đi du lịch, Đi tiệc ngoài trời, Dạo phố, Đi làm"",""Chiều dài tay áo"":""Tay dài"",""Kiểu cổ áo"":""Cổ Blazer (Lapel)"",""Kiểu nút"":""2 nút"",""Kiểu áo khoác"":""Blazer Linen""}",https://shopee.vn/%C3%81o-kho%C3%A1c-ROWAY-ch%E1%BA%A5t-li%E1%BB%87u-linen-cao-c%E1%BA%A5p-Blazer-linen-i.358123846.44265464011?extraParams=%7B%22display_model_id%22%3A296275175496%2C%22model_selection_logic%22%3A3%7D,450.000đ
Áo khoác Blazer nam JBAGY Atelier Jacket ve nhọn vải âu cao cấp JK0102,Áo Vest và Blazer,JBAGY,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""JBAGY"",""Chất liệu"":""Vải Âu cao cấp"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Sang trọng, Atelier hiện đại"",""Mẫu"":""Trơn"",""Mùa"":""Bốn mùa"",""Tính năng"":""Ve nhọn tinh tế, Đứng form, Chống nhăn"",""Hoàn cảnh"":""Sự kiện, Tiệc cưới, Công sở, Hẹn hò"",""Chiều dài tay áo"":""Tay dài"",""Kiểu cổ áo"":""Cổ ve nhọn (Peak Lapel)"",""Kiểu nút"":""1 nút / 2 nút"",""Kiểu áo khoác"":""Blazer Atelier""}",https://shopee.vn/New-Arrivals-%C3%81o-kho%C3%A1c-Blazer-nam-JBAGY-Atelier-Jacket-ve-nh%E1%BB%8Dn-v%E1%BA%A3i-%C3%A2u-cao-c%E1%BA%A5p-JK0102-i.259681663.41825903590?extraParams=%7B%7D,659.000đ
Áo blazer nam ARISTINO cao cấp form vừa vặn tôn dáng lịch lãm công sở dự tiệc,Áo Vest và Blazer,ARISTINO,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""ARISTINO"",""Chất liệu"":""Wool pha"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Lịch lãm, Sang trọng"",""Mẫu"":""Trơn"",""Mùa"":""Bốn mùa"",""Tính năng"":""Đứng form, không nhăn"",""Hoàn cảnh"":""Đi làm, Dự tiệc"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ ve chữ V"",""Kiểu nút"":""2 nút""}",null,719.000 đ
Áo Blazer Nam ARISTINO Chất Liệu Kaki Thoáng Mát Kiểu Dáng Hiện Đại ABZ01,Áo Vest và Blazer,ARISTINO,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""ARISTINO"",""Chất liệu"":""Kaki thun"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Hiện đại, Công sở"",""Mẫu"":""Trơn"",""Mùa"":""Mùa thu"",""Tính năng"":""Mềm mại, co giãn nhẹ"",""Hoàn cảnh"":""Công sở, Đi chơi"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ ve xếch"",""Kiểu nút"":""1 nút""}",null,699.000 đ
Áo Blazer ARISTINO Premium Tailored Fit Suit Jacket Phong Cách Sartorial ABZ02,Áo Vest và Blazer,ARISTINO,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""ARISTINO"",""Chất liệu"":""Polyester pha Wool"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Sartorial, Cổ điển"",""Mẫu"":""Kẻ sọc (Pinstripe)"",""Mùa"":""Thu Đông"",""Tính năng"":""Giữ nếp hoàn hảo"",""Hoàn cảnh"":""Gặp đối tác, Sự kiện quan trọng"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ ve bản to"",""Kiểu nút"":""6 nút (Double breasted)""}",null,729.000 đ
Áo blazer nam OWEN dáng ôm slimfit màu xanh navy basic dễ phối đồ đi làm đi chơi,Áo Vest và Blazer,OWEN,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""OWEN"",""Chất liệu"":""Vải Nano"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Thanh lịch, Cơ bản"",""Mẫu"":""Trơn"",""Mùa"":""Bốn mùa"",""Tính năng"":""Chống nhăn, mềm nhẹ"",""Hoàn cảnh"":""Đi làm, Dạo phố"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ ve xuôi"",""Kiểu nút"":""2 nút""}",null,500.000 đ
Áo Khoác Blazer Nam OWEN Kẻ Caro Trẻ Trung Vải Tuyết Mưa Đứng Form OWB99,Áo Vest và Blazer,OWEN,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""OWEN"",""Chất liệu"":""Vải tuyết mưa"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Trẻ trung, Hiện đại"",""Mẫu"":""Kẻ caro"",""Mùa"":""Thu Đông"",""Tính năng"":""Dày dặn, giữ ấm nhẹ"",""Hoàn cảnh"":""Đi học, Cafe, Hẹn hò"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ ve xuôi"",""Kiểu nút"":""2 nút""}",null,600.000 đ
Áo Blazer Nam OWEN Smart Casual Unlined Blazer Mỏng Nhẹ Thoáng Mát OWB88,Áo Vest và Blazer,OWEN,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""OWEN"",""Chất liệu"":""Cotton pha Linen"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Smart Casual"",""Mẫu"":""Trơn"",""Mùa"":""Mùa hè, Mùa thu"",""Tính năng"":""Không lót đệm vai, siêu thoáng"",""Hoàn cảnh"":""Dạo phố, Đi làm mùa hè"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ ve xuôi mềm"",""Kiểu nút"":""1 nút""}",null,630.000 đ
Áo blazer nam POLOMAN phong cách Hàn Quốc form rộng oversize trẻ trung màu đen trơn,Áo Vest và Blazer,POLOMAN,"{""Danh Mục"":""Áo blazer"",""Thương hiệu"":""POLOMAN"",""Chất liệu"":""Vải tây cao cấp"",""Xuất xứ"":""Việt Nam"",""Phong cách"":""Hàn Quốc, Trẻ trung"",""Mẫu"":""Trơn"",""Mùa"":""Bốn mùa"",""Tính năng"":""Rộng rãi, thoải mái"",""Hoàn cảnh"":""Đi chơi, Chụp ảnh"",""Chiều dài tay áo"":""Dài tay"",""Kiểu cổ áo"":""Cổ bẻ"",""Kiểu nút"":""2 nút""}",null,650.000 đ
